Frame,Class,X,Y,Speed
5,Player1,569,374,0.0
6,Player1,574,374,0.1724137931034483
7,Player1,573,372,0.07710579232757896
8,Player1,575,373,0.07710579232757896
9,Player1,577,373,0.06896551724137931
10,Player1,577,373,0.0
11,Player1,586,374,0.312254659935773
12,Player1,593,374,0.2413793103448276
13,Player1,598,373,0.17582825908940636
14,Player1,601,373,0.10344827586206896
15,Player1,600,372,0.048765984909417075
16,Player1,600,372,0.0
17,Player1,602,370,0.09753196981883415
18,Player1,606,367,0.1724137931034483
19,Player1,610,367,0.13793103448275862
20,Player1,630,481,3.9910720817186998
20,Player2,710,329,0.0
21,Player1,629,481,0.034482758620689655
21,Player2,710,329,0.0
22,Player1,629,481,0.0
22,Player2,710,329,0.0
23,Player1,629,480,0.034482758620689655
23,Player2,710,329,0.0
24,Player1,629,481,0.034482758620689655
24,Player2,710,329,0.0
25,Player1,627,480,0.07710579232757896
25,Player2,710,329,0.0
26,Player1,626,480,0.034482758620689655
26,Player2,710,329,0.0
27,Player1,626,480,0.0
27,Player2,710,328,0.034482758620689655
28,Player1,626,480,0.0
28,Player2,710,329,0.034482758620689655
29,Player1,626,480,0.0
29,Player2,710,329,0.0
30,Player1,628,479,0.07710579232757896
30,Player2,710,328,0.034482758620689655
30,Shuttlecock,670,381,0.0
31,Player1,631,479,0.10344827586206896
31,Player2,710,329,0.034482758620689655
31,Shuttlecock,678,358,0.8397100456473049
32,Player1,631,479,0.0
32,Player2,711,330,0.048765984909417075
33,Player1,632,479,0.034482758620689655
33,Player2,709,331,0.07710579232757896
33,Shuttlecock,685,331,0.9618155642056105
33,Shuttlecock,690,333,0.18569533817705186
34,Player1,632,479,0.0
34,Player2,710,331,0.034482758620689655
34,Shuttlecock,685,331,0.18569533817705186
34,Shuttlecock,690,333,0.18569533817705186
35,Player1,632,479,0.0
35,Player2,712,330,0.07710579232757896
35,Shuttlecock,686,319,0.5020765440883116
35,Shuttlecock,690,321,0.1542115846551579
36,Player1,633,478,0.048765984909417075
36,Player2,713,331,0.048765984909417075
36,Shuttlecock,691,316,0.17582825908940636
37,Player1,635,477,0.07710579232757896
37,Player2,715,331,0.06896551724137931
